idx,CHILD_SEX,IDD_SCORE,AGE,HHID_count,HH_AGE,FOOD_EXPENSE_WEEKLY,NON-FOOD_EXPENSE_WEEKLY,HDD_SCORE,FOOD_INSECURITY,YoungBoys,YoungGirls,AverageMonthlyIncome,BEN_4PS,AREA_TYPE,FOOD_EXPENSE_WEEKLY_pc,NON-FOOD_EXPENSE_WEEKLY_pc,AverageMonthlyIncome_pc
CV1245,1,6,10,4,25,4636,1831.25,9,2,-999,-999,1,2,0,1159,457.8125,0.25
CV1742,0,4,10,7,23,3065,2687.5,8,4,-999,-999,4,2,0,437.8571429,383.9285714,0.571428571
CV941,0,7,12,6,18.16666667,1444,820,8,4,1,0,1,1,0,240.6666667,136.6666667,0.166666667
CV1435,0,6,10,7,17.28571429,2636,737.5,9,3,0,1,3,2,0,376.5714286,105.3571429,0.428571429
CV937,0,5,6,3,21.33333333,1373,1940,9,3,-999,-999,3,1,0,457.6666667,646.6666667,1
CV897,0,4,8,4,21.33333333,1634,2506,9,2,-999,-999,6,1,0,408.5,626.5,1.5
CV953,1,6,12,5,18.4,5966,300.75,9,4,0,1,5,2,0,1193.2,60.15,1
CV1251,1,8,22,4,37.75,2598,961.75,6,1,-999,-999,2,1,0,649.5,240.4375,0.5
CV935,0,6,9,4,22,4784,1120,9,4,1,0,2,2,0,1196,280,0.5
CV1363,0,3,6,5,32.2,2641,5085,9,3,-999,-999,2,1,0,528.2,1017,0.4
CV1086,0,7,9,4,36.25,2117,27283.75,9,1,-999,-999,2,1,0,529.25,6820.9375,0.5
CV959,0,6,10,4,19.5,2653,387.75,9,2,-999,-999,2,1,0,663.25,96.9375,0.5
CV693,0,4,8,4,17.75,2194,1060.21,9,1,1,0,6,1,0,548.5,265.0525,1.5
CV1567,0,4,5,6,16,4186,2617.75,9,3,1,0,2,1,0,697.6666667,436.2916667,0.333333333
CV948,1,6,6,4,14.5,1925,730,9,1,0,1,1,1,0,481.25,182.5,0.25
CV677,1,3,6,4,15.4575,1545,601.25,9,2,1,0,2,1,0,386.25,150.3125,0.5
CV1014,0,5,10,5,47,1593,297.75,9,2,-999,-999,2,1,0,318.6,59.55,0.4
CV1096,0,3,11,5,25.2,1457,3900.5,9,2,-999,-999,3,2,0,291.4,780.1,0.6
CV1099,1,5,11,4,23.75,1002,1037.5,9,2,-999,-999,1,2,0,250.5,259.375,0.25
CV1260,0,7,8,5,20,3074,686.165,9,3,-999,-999,2,1,0,614.8,137.233,0.4
CV772,0,5,10,3,31.33333333,2247,1538.625,9,1,-999,-999,7,1,0,749,512.875,2.333333333
CV1864,0,4,11,13,28.33333333,3301,3850,9,3,-999,-999,3,1,0,253.9230769,296.1538462,0.230769231
CV1482,0,6,5,5,17.4,3315,609.25,7,3,1,0,4,1,0,663,121.85,0.8
CV1259,1,7,5,5,15.6,2692,2030.75,8,4,0,2,3,1,0,538.4,406.15,0.6
CV1639,1,5,6,6,22,4425,2810.5,9,2,-999,-999,5,2,0,737.5,468.4166667,0.833333333
CV1011,0,5,10,5,21.6,4599,1484.5,9,2,1,0,3,1,0,919.8,296.9,0.6
CV1512,1,6,11,8,17,2356,1875,9,4,1,0,1,2,0,294.5,234.375,0.125
CV1013,0,7,10,5,18.8,1060,881.25,9,1,-999,-999,1,2,0,212,176.25,0.2
CV1324,1,8,11,6,11,2315,1626.75,8,3,-999,-999,3,2,0,385.8333333,271.125,0.5
CV1316,1,6,5,5,20.4,1695,700,8,2,0,1,0,2,0,339,140,0
CV1568,1,7,8,8,25.875,2000,719.75,8,2,1,1,5,1,0,250,89.96875,0.625
CV951,1,5,7,8,32.375,1657,1268.4125,9,2,-999,-999,3,2,0,207.125,158.5515625,0.375
CV675,1,5,8,5,14.8,2106,1021.5,6,3,1,0,3,1,0,421.2,204.3,0.6
CV1535,1,7,10,8,17.375,1407,1648.75,9,4,0,1,1,2,0,175.875,206.09375,0.125
CV679,1,6,6,3,22.66666667,1192.75,333.335,9,3,-999,-999,1,1,0,397.5833333,111.1116667,0.333333333
